CATEGORY,NAME,PRICE
"White Wine","Bread & Butter Chardonnay (750 mL) (1 x 750 mL)",$23.52
"White Wine","Cavaliere D'Oro Promessa Pinot Grigio (750 mL) (1 x 750 mL)",$14.90
"White Wine","Cono Sur Viognier (750 mL) (1 x 750 mL)",$15.14
"White Wine","Gazela Vinho Verde (750 mL) (1 x 750 mL)",$13.52
"White Wine","Imagery Sauvignon Blanc (750 mL) (1 x 750 mL)",$22.14
"White Wine","Jacob's Creek Moscato (750 ml Bottle) (1 x 750 mL)",$16.76
"White Wine","Kendall-Jackson Chardonnay (750 mL) (1 x 750 mL)",$27.86
"White Wine","Kim Crawford Sauvignon Blanc (750 mL) (1 x 750 mL)",$23.00
"White Wine","Lindeman's Bin 85 Pinot Grigio (750 mL) (1 x 750 mL)",$14.86
"White Wine","Matua Sauvignon Blanc (750 mL) (1 x 750 mL)",$18.57
"White Wine","Oyster Bay Chardonnay (750 mL) (1 x 750 mL)",$21.48
"White Wine","Oyster Bay Sauvignon Blanc (750 mL) (1 x 750 mL)",$21.48
"White Wine","Perrin La Vieille Ferme White (750 mL) (1 x 750 mL)",$15.95
"White Wine","Santa Margherita Pinot Grigio (750 mL) (1 x 750 mL)",$21.29
"White Wine","Santa Rita 120 Sauvignon Blanc (750 mL) (1 x 750 mL)",$15.19
"White Wine","Stoneleigh Sauvignon Blanc (750 mL) (1 x 750 mL)",$20.29
"White Wine","Yellow Tail Chardonnay (750 mL) (1 x 750 mL)",$15.62
"White Wine","Meiomi Chardonnay (750 mL) (1 x 750 mL)",$26.57
"Red Wine","Apothic Red (750 mL) (1 x 750 mL)",$17.67
"Red Wine","Bread & Butter Pinot Noir (750 mL) (1 x 750 mL)",$25.05
"Red Wine","J. Lohr 7 Oaks Cabernet Sauvignon (750 ml Bottle)",$31.67
"Red Wine","Barefoot Merlot (750 mL) (1 x 750 mL)",$13.67
"Red Wine","Barefoot Cabernet Sauvignon (750 mL) (1 x 750 mL)",$13.67
"Red Wine","Long Country Cabernet/Merlot (1 L) (1 x 1 L)",$13.67
"Red Wine","Masi Campofiorin (750 mL) (1 x 750 mL)",$25.85
"Red Wine","Meiomi Pinot Noir (750 mL) (1 x 750 mL)",$26.57
"Red Wine","19 Crimes Cali Red (750 mL) (1 x 750 mL)",$25.05
"Red Wine","19 Crimes Banished (750 mL) (1 x 750 mL)",$22.00
"Red Wine","19 Crimes Cabernet Sauvignon (750 mL) (1 x 750 mL)",$22.00
